WRONG KB ID 	EL_ENG_01681	Burlington	Burlington, Wisconsin
CORRECT     	EL_ENG_00236	Cambridge, Massachusetts	Cambridge, Massachusetts
CORRECT     	EL_ENG_01582	Rainn Wilson	Rainn Wilson
CORRECT     	EL_ENG_01625	Augustus Hawkins	Augustus F. Hawkins
CORRECT     	EL_ENG_00548	National Rifle Association	National Rifle Association
CORRECT     	EL_ENG_00717	Tesla	Nikola Tesla
WRONG KB ID 	EL_ENG_01454	Somerset, New York	Somerset, New York
CORRECT     	EL_ENG_01904	Transportation Security Administration	Transportation Security Administration
CORRECT     	EL_ENG_00298	Hudson, Ohio	Hudson, Ohio
CORRECT     	EL_ENG_00775	Boston College	Boston College
CORRECT     	EL_ENG_00056	Graeme Brown	Graeme Brown
CORRECT     	EL_ENG_01020	Lyon, France	Lyon
WRONG KB ID 	EL_ENG_02058	Lyon, France	Lyon
CORRECT     	EL_ENG_00313	Tony Parker	Tony Parker
WRONG KB ID 	EL_ENG_02225	John Kelly	Without Remorse
CORRECT     	EL_ENG_00875	British Airways	British Airways
CORRECT     	EL_ENG_00700	Oxford, Maryland	Oxford, Maryland
CORRECT     	EL_ENG_01804	Stanley Kaplan	Kaplan, Inc.
CORRECT     	EL_ENG_00612	Andrew Walker	Andrew Walker (rugby)
CORRECT     	EL_ENG_00702	Edie Adams	Edie Adams
EXP NIL     	EL_ENG_00510	Ken Wilson	Ken Wilson (sportscaster)
CORRECT     	EL_ENG_01711	Kirk Broadfoot	Kirk Broadfoot
CORRECT     	EL_ENG_00171	Eugene Fluckey	Eugene B. Fluckey
EXP NIL     	EL_ENG_01575	Greenwich, Connecticut	Greenwich, Connecticut
CORRECT     	EL_ENG_01561	Leeds, Alabama	Leeds, Alabama
CORRECT     	EL_ENG_01156	Chatsworth, Georgia	Chatsworth, Georgia
CORRECT     	EL_ENG_00049	Leisel Jones	Leisel Jones
CORRECT     	EL_ENG_01563	Leisel Jones	Leisel Jones
CORRECT     	EL_ENG_00083	Newport, Kentucky	Newport, Kentucky
CORRECT     	EL_ENG_02049	Mary Louise Wilson	Mary Louise Wilson
CORRECT     	EL_ENG_00532	Watford	Watford F.C.
CORRECT     	EL_ENG_01432	MIA	M.I.A. (artist)
EXP NIL     	EL_ENG_00552	Kenneth Miller	Kenneth R. Miller
CORRECT     	EL_ENG_00927	Newton, New Jersey	Newton, New Jersey
WRONG KB ID 	EL_ENG_01430	Edison, New Jersey	Edison (film)
CORRECT     	EL_ENG_00254	Winchester	Winchester
WRONG KB ID 	EL_ENG_00416	Winchester	Winchester
WRONG KB ID 	EL_ENG_01479	Winchester	Winchester
EXP NIL     	EL_ENG_01761	Winchester	Winchester
CORRECT     	EL_ENG_01939	Joe Montana	Joe Montana
CORRECT     	EL_ENG_00127	Bloomfield, New Jersey	Bloomfield, New Jersey
CORRECT     	EL_ENG_00363	Joaquin Phoenix	Joaquin Phoenix
CORRECT     	EL_ENG_00057	ELIZABETH VARGAS	Elizabeth Vargas
CORRECT     	EL_ENG_00712	Stacey Jones	Stacey Jones
CORRECT     	EL_ENG_00829	Franklin	Aretha Franklin
CORRECT     	EL_ENG_02190	Aretha Franklin	Aretha Franklin
CORRECT     	EL_ENG_01953	Libby Lenton	Libby Trickett
CORRECT     	EL_ENG_01825	Eddie Thompson	Eddie Thompson
CORRECT     	EL_ENG_01844	Council of Trade Unions	New Zealand Council of Trade Unions
CORRECT     	EL_ENG_01002	Fayetteville, North Carolina	Fayetteville, North Carolina
CORRECT     	EL_ENG_00014	PAL	Philippine Airlines
CORRECT     	EL_ENG_01959	Monroeville, Pennsylvania	Monroeville, Pennsylvania
WRONG KB ID 	EL_ENG_02125	Monroeville	Monroeville, Pennsylvania
WRONG KB ID 	EL_ENG_00816	Trenton	Trenton, New Jersey
CORRECT     	EL_ENG_02169	Trenton	Trenton, New Jersey
CORRECT     	EL_ENG_01747	Somerset	Somerset
CORRECT     	EL_ENG_01935	Somerset	Somerset
EXP NIL     	EL_ENG_00747	Mike Adams	Mike Adams (pitcher)
CORRECT     	EL_ENG_01506	Patterson, California	Patterson, California
CORRECT     	EL_ENG_00492	Tommy Thompson	Tommy Thompson
CORRECT     	EL_ENG_00793	Tommy Thompson	Tommy Thompson
EXP NIL     	EL_ENG_01457	Tara Hunt	Tara Hunt
CORRECT     	EL_ENG_00117	Mansfield, Ohio	Mansfield, Ohio
CORRECT     	EL_ENG_00177	Leeds Rhinos	Leeds Rhinos
CORRECT     	EL_ENG_00713	Jamestown, Ohio	Jamestown, Ohio
CORRECT     	EL_ENG_01049	Riverside, Ohio	Riverside, Ohio
EXP NIL     	EL_ENG_01629	CBA	Continental Basketball Association
CORRECT     	EL_ENG_00511	Howard University	Howard University
EXP NIL     	EL_ENG_00876	Paul Bennett	Paul Bennett (football player)
CORRECT     	EL_ENG_00020	University of North Carolina-Charlotte	University of North Carolina at Charlotte
CORRECT     	EL_ENG_00045	Greenville, Texas	Greenville, Texas
CORRECT     	EL_ENG_00209	Bakersfield, California	Bakersfield, California
CORRECT     	EL_ENG_00191	Albany, New York	Albany, New York
WRONG KB ID 	EL_ENG_00561	Bedford	Bedford
CORRECT     	EL_ENG_01764	Bedford	Bedford
WRONG KB ID 	EL_ENG_00287	Exeter, New Hampshire	Exeter, New Hampshire
WRONG KB ID 	EL_ENG_01472	Wigan	Wigan
CORRECT     	EL_ENG_01673	Auburn, New York	Auburn, New York
CORRECT     	EL_ENG_00063	Firestone	Firestone Tire and Rubber Company
CORRECT     	EL_ENG_00657	Rutherford B. Hayes	Rutherford B. Hayes
CORRECT     	EL_ENG_01749	James Jones	James Jones (basketball player)
WRONG KB ID 	EL_ENG_00540	Wilson Sporting Goods	Woodrow Wilson
EXP NIL     	EL_ENG_01131	Wilson	Woodrow Wilson
CORRECT     	EL_ENG_01115	Spurs	Tottenham Hotspur F.C.
CORRECT     	EL_ENG_01289	Tottenham	Tottenham Hotspur F.C.
CORRECT     	EL_ENG_01769	Chesterfield, Missouri	Chesterfield, Missouri
CORRECT     	EL_ENG_01873	Chesterfield, Missouri	Chesterfield, Missouri
CORRECT     	EL_ENG_00957	Manchester, Georgia	Manchester, Georgia
CORRECT     	EL_ENG_00546	Auburn	Auburn University
WRONG KB ID 	EL_ENG_00325	ACI	Milan
CORRECT     	EL_ENG_02224	MLS	Major League Soccer
CORRECT     	EL_ENG_00075	Andrew Jackson	Andrew Jackson
CORRECT     	EL_ENG_00011	Tammy Faye Messner	Tammy Faye Messner
CORRECT     	EL_ENG_01951	Blytheville, Arkansas	Blytheville, Arkansas
CORRECT     	EL_ENG_00918	Jim Bakker	Jim Bakker
CORRECT     	EL_ENG_01921	Kirk Hinrich	Kirk Hinrich
CORRECT     	EL_ENG_00400	Steven Derounian	Steven Derounian
WRONG KB ID 	EL_ENG_00217	Villains	The Powerpuff Girls
CORRECT     	EL_ENG_01719	Phil Jackson	Phil Jackson
WRONG KB ID 	EL_ENG_00292	American Airlines	Federal Aviation Administration
CORRECT     	EL_ENG_02061	Federal Aviation Administration	Federal Aviation Administration
CORRECT     	EL_ENG_00508	Josh Howard	Josh Howard
CORRECT     	EL_ENG_01597	Breckenridge, Colorado	Breckenridge, Colorado
CORRECT     	EL_ENG_01167	Martin Starr	Martin Starr
CORRECT     	EL_ENG_01427	Newark, Ohio	Newark, Ohio
WRONG KB ID 	EL_ENG_01809	Farmington, New Mexico	Four Corners Regional Airport
CORRECT     	EL_ENG_01595	Chad Varah	Chad Varah
CORRECT     	EL_ENG_01976	NKOTB	New Kids on the Block
CORRECT     	EL_ENG_02196	new kids	New Kids on the Block
EXP NIL     	EL_ENG_01702	Buena Vista	Buena Vista Social Club
CORRECT     	EL_ENG_00034	Porto	Porto
WRONG KB ID 	EL_ENG_00188	Porto, Portugal	Porto
CORRECT     	EL_ENG_00463	Jackson, Ohio	Jackson, Ohio
EXP NIL     	EL_ENG_00562	Scranton	Scranton, Pennsylvania
CORRECT     	EL_ENG_00628	Scranton, Pennsylvania	Scranton, Pennsylvania
CORRECT     	EL_ENG_01383	Fenton, Michigan	Fenton, Michigan
CORRECT     	EL_ENG_00154	Frisco, Colorado	Frisco, Colorado
EXP NIL     	EL_ENG_00004	FSC	Forest Stewardship Council
CORRECT     	EL_ENG_01350	Forest Stewardship Council	Forest Stewardship Council
WRONG KB ID 	EL_ENG_00899	Liverpool	Liverpool
CORRECT     	EL_ENG_02033	Matthew Newton	Matthew Newton
WRONG KB ID 	EL_ENG_02111	Hatfield	Mark Hatfield
WRONG KB ID 	EL_ENG_00520	Avon, Colorado	Beaver Creek Resort
CORRECT     	EL_ENG_01419	Michael Clarke	Michael Clarke (cricketer)
CORRECT     	EL_ENG_00052	James Brown	James Brown
EXP NIL     	EL_ENG_00990	BROWN	James Brown
CORRECT     	EL_ENG_01149	James Brown	James Brown
WRONG KB ID 	EL_ENG_00953	MoCA	Moca, Dominican Republic
CORRECT     	EL_ENG_00991	Naomi Campbell	Naomi Campbell
WRONG KB ID 	EL_ENG_00341	New York Daily News	The New York Times
CORRECT     	EL_ENG_00134	Lexington, Massachusetts	Lexington, Massachusetts
WRONG KB ID 	EL_ENG_00334	Watertown, New York	Fort Drum
WRONG KB ID 	EL_ENG_01116	Watertown, New York	Fort Drum
EXP NIL     	EL_ENG_00257	Florida	Florida
CORRECT     	EL_ENG_01402	Burlington	Burlington, Massachusetts
CORRECT     	EL_ENG_00811	Demi Moore	Demi Moore
EXP NIL     	EL_ENG_01378	Richard Carroll	Richard Carroll
CORRECT     	EL_ENG_01262	Robert Wilson	Robert Wilson (director)
CORRECT     	EL_ENG_01737	Jacque Jones	Jacque Jones
CORRECT     	EL_ENG_01026	Richard Clarke	Richard A. Clarke
CORRECT     	EL_ENG_01052	Richard Clarke	Richard A. Clarke
CORRECT     	EL_ENG_00768	Plainfield, New Hampshire	Plainfield, New Hampshire
WRONG KB ID 	EL_ENG_00746	Durham, North Carolina	Durham, North Carolina
CORRECT     	EL_ENG_02146	Thomasville, North Carolina	Thomasville, North Carolina
EXP NIL     	EL_ENG_00956	Lexington	Lexington, Kentucky
CORRECT     	EL_ENG_01393	Lexington, Kentucky	Lexington, Kentucky
WRONG KB ID 	EL_ENG_01745	Wildcats	Northwestern Wildcats
CORRECT     	EL_ENG_01515	Hugh Miller	Hugh Miller
CORRECT     	EL_ENG_00828	Jesse Jackson	Jesse Jackson
CORRECT     	EL_ENG_00555	Harcourt	Port Harcourt
WRONG KB ID 	EL_ENG_02216	Awami League	Sheikh Mujibur Rahman
CORRECT     	EL_ENG_00549	Burnley	Burnley F.C.
CORRECT     	EL_ENG_01168	Burnley	Burnley F.C.
CORRECT     	EL_ENG_01224	Middleburg, Virginia	Middleburg, Virginia
EXP NIL     	EL_ENG_00949	Dean	Swizz Beatz
CORRECT     	EL_ENG_01399	Samuel Jackson	Samuel L. Jackson
EXP NIL     	EL_ENG_00246	Ross Wilson	Ross Wilson (musician)
CORRECT     	EL_ENG_01940	The Starr Foundation	The Starr Foundation
CORRECT     	EL_ENG_01744	BNA	BNA Records
EXP NIL     	EL_ENG_01992	BNA	BNA Records
EXP NIL     	EL_ENG_01492	Richard Schiff	Richard Schiff
EXP NIL     	EL_ENG_01591	Richard Schiff	Richard Schiff
CORRECT     	EL_ENG_01906	Northampton, Massachusetts	Northampton, Massachusetts
CORRECT     	EL_ENG_01558	Lakewood, Ohio	Lakewood, Ohio
CORRECT     	EL_ENG_01011	Dennis Rodman	Dennis Rodman
CORRECT     	EL_ENG_00038	Englishtown, New Jersey	Englishtown, New Jersey
EXP NIL     	EL_ENG_00200	Englishtown	Englishtown, New Jersey
CORRECT     	EL_ENG_01035	Ryan Howard	Ryan Howard
CORRECT     	EL_ENG_00290	Shawn Johnson	Shawn Johnson
CORRECT     	EL_ENG_01486	Shawn Johnson	Shawn Johnson
CORRECT     	EL_ENG_01783	Shawn Johnson	Shawn Johnson
EXP NIL     	EL_ENG_00506	Brian Brown	Bryan Brown
WRONG KB ID 	EL_ENG_01285	Charleston, West Virginia	WCHS-TV
CORRECT     	EL_ENG_01398	Jerry Springer	Jerry Springer
CORRECT     	EL_ENG_01028	Avram Grant	Avram Grant
CORRECT     	EL_ENG_00355	Russellville, Arkansas	Russellville, Arkansas
WRONG KB ID 	EL_ENG_00653	Carroll, Iowa	Carroll, Iowa
CORRECT     	EL_ENG_01199	Centerville, Iowa	Centerville, Iowa
CORRECT     	EL_ENG_00081	Roger Daltrey	Roger Daltrey
CORRECT     	EL_ENG_00744	Roger Daltry	Roger Daltrey
CORRECT     	EL_ENG_01460	Roger Daltry	Roger Daltrey
CORRECT     	EL_ENG_00862	Anderson Cooper	Anderson Cooper
WRONG KB ID 	EL_ENG_00466	Allen Stanford	Allen Stanford
CORRECT     	EL_ENG_00988	Barbara Buckley	Barbara Buckley
CORRECT     	EL_ENG_02138	Alexandria, Egypt	Alexandria
CORRECT     	EL_ENG_02066	Sienna Miller	Sienna Miller
CORRECT     	EL_ENG_01797	Morgan Carroll	Morgan Carroll
CORRECT     	EL_ENG_01958	Becki Newton	Becki Newton
CORRECT     	EL_ENG_02112	Becki Newton	Becki Newton
CORRECT     	EL_ENG_00431	Adrian Wilson	Adrian Wilson (American football)
WRONG KB ID 	EL_ENG_01113	Newtown	Stephens City, Virginia
EXP NIL     	EL_ENG_01640	Newtown	Stephens City, Virginia
CORRECT     	EL_ENG_00437	Watertown, Massachusetts	Watertown, Massachusetts
CORRECT     	EL_ENG_02039	Watertown	Watertown, Massachusetts
CORRECT     	EL_ENG_00748	Parren Mitchell	Parren Mitchell
CORRECT     	EL_ENG_00596	Lakewood, New Jersey	Lakewood Township, New Jersey
WRONG KB ID 	EL_ENG_01103	Albany, Oregon	Albany, Oregon (Amtrak station)
CORRECT     	EL_ENG_01971	Greenville, Ohio	Greenville, Ohio
CORRECT     	EL_ENG_00529	Newberry, Michigan	Newberry, Michigan
CORRECT     	EL_ENG_01724	Jessica Hardy	Jessica Hardy
CORRECT     	EL_ENG_00676	Lucie Silvas	Lucie Silvas
CORRECT     	EL_ENG_00916	Fayetteville, Georgia	Fayetteville, Georgia
CORRECT     	EL_ENG_01273	Owen Wilson	Owen Wilson
WRONG KB ID 	EL_ENG_02132	Arlington, Washington	Arlington, Washington
CORRECT     	EL_ENG_02028	Robert McNair	Robert Evander McNair
CORRECT     	EL_ENG_01704	New Brunswick	New Brunswick
EXP NIL     	EL_ENG_02175	Zurich	ETH Zurich
WRONG KB ID 	EL_ENG_00945	Fairfield	Bridgeport, Connecticut
WRONG KB ID 	EL_ENG_01291	Fairfield	Bridgeport, Connecticut
CORRECT     	EL_ENG_00133	Monaco	Monaco
EXP NIL     	EL_ENG_01686	Juan Monaco	Monaco
WRONG KB ID 	EL_ENG_02213	Monaco	Monaco
CORRECT     	EL_ENG_00136	Clifton, Texas	Clifton, Texas
WRONG KB ID 	EL_ENG_02122	Somerset, Maryland	Somerset, Maryland
EXP NIL     	EL_ENG_00143	Mansfield	Mansfield
EXP NIL     	EL_ENG_00825	Mansfield	Mansfield
CORRECT     	EL_ENG_01509	Mansfield	Mansfield
CORRECT     	EL_ENG_00390	Gary Collins	Gary Collins (actor)
CORRECT     	EL_ENG_00227	Rangers	Rangers F.C.
CORRECT     	EL_ENG_00301	Rangers FC	Rangers F.C.
EXP NIL     	EL_ENG_00359	Rangers	Rangers F.C.
EXP NIL     	EL_ENG_01482	Rangers	Rangers F.C.
EXP NIL     	EL_ENG_01511	Rangers	Rangers F.C.
EXP NIL     	EL_ENG_01725	Rangers	Rangers F.C.
CORRECT     	EL_ENG_01898	Oxford, Iowa	Oxford, Iowa
CORRECT     	EL_ENG_00967	Salisbury University	Salisbury University
WRONG KB ID 	EL_ENG_00708	Stockton, Wisconsin	Stockton, Wisconsin
CORRECT     	EL_ENG_00975	United Space Alliance	United Space Alliance
CORRECT     	EL_ENG_01256	Shirley Franklin	Shirley Franklin
EXP NIL     	EL_ENG_00190	Colorado	Colorado
WRONG KB ID 	EL_ENG_01598	Lakeville, Minnesota	Midway (Amtrak station)
EXP NIL     	EL_ENG_00542	Linda Thompson	Linda Thompson (singer)
CORRECT     	EL_ENG_02192	Concord, California	Concord, California
CORRECT     	EL_ENG_01499	floyd patterson	Floyd Patterson
CORRECT     	EL_ENG_00519	Springfield, Illinois	Springfield, Illinois
CORRECT     	EL_ENG_00981	Springfield, Illinois	Springfield, Illinois
CORRECT     	EL_ENG_02107	Salisbury, Connecticut	Salisbury, Connecticut
CORRECT     	EL_ENG_01624	Josh Henderson	Josh Henderson
CORRECT     	EL_ENG_02025	Ramsey Clark	Ramsey Clark
CORRECT     	EL_ENG_00961	Open Society Institute	Open Society Institute
CORRECT     	EL_ENG_02004	Charles Clarke	Charles Clarke
CORRECT     	EL_ENG_02199	Julianne Moore	Julianne Moore
CORRECT     	EL_ENG_02062	Tim Howard	Tim Howard
CORRECT     	EL_ENG_01777	International Cricket Council	International Cricket Council
CORRECT     	EL_ENG_00016	Jimmy Carter	Jimmy Carter
EXP NIL     	EL_ENG_01270	James Carter	Jimmy Carter
WRONG KB ID 	EL_ENG_01793	Carters	Jimmy Carter
CORRECT     	EL_ENG_02227	Hingham, Massachusetts	Hingham, Massachusetts
CORRECT     	EL_ENG_01433	Sara Evans	Sara Evans
CORRECT     	EL_ENG_01721	Gainesville, Florida	Gainesville, Florida
CORRECT     	EL_ENG_00425	Dean McDermott	Dean McDermott
EXP NIL     	EL_ENG_00161	Newport	Newport
CORRECT     	EL_ENG_00726	Newport	Newport
EXP NIL     	EL_ENG_01641	Newport	Newport
CORRECT     	EL_ENG_00615	David Starr	David Starr
CORRECT     	EL_ENG_00854	DENNIS MILLER	Dennis Miller
EXP NIL     	EL_ENG_01854	Paul Kirk	Manhunter (comics)
CORRECT     	EL_ENG_00408	Raleigh Rhodes	Raleigh Rhodes
CORRECT     	EL_ENG_00195	Lee H. Hamilton	Lee H. Hamilton
CORRECT     	EL_ENG_00917	Lee Hamilton	Lee H. Hamilton
CORRECT     	EL_ENG_00449	Breckenridge, Minnesota	Breckenridge, Minnesota
CORRECT     	EL_ENG_00902	Jamestown, New York	Jamestown, New York
CORRECT     	EL_ENG_01464	Gordon Brown	Gordon Brown
CORRECT     	EL_ENG_01603	Gordon Brown	Gordon Brown
CORRECT     	EL_ENG_01004	Wayne Newton	Wayne Newton
WRONG KB ID 	EL_ENG_00107	Carroll	Julian Carroll
CORRECT     	EL_ENG_00201	Sean Kingston	Sean Kingston
CORRECT     	EL_ENG_01651	Stephin Merritt	Stephin Merritt
EXP NIL     	EL_ENG_01662	Betty Ford	Betty Ford
CORRECT     	EL_ENG_01128	Sinclair	Sinclair Broadcast Group
CORRECT     	EL_ENG_00661	Salisbury, Maryland	Salisbury, Maryland
CORRECT     	EL_ENG_00860	Oxford, Connecticut	Oxford, Connecticut
WRONG KB ID 	EL_ENG_00919	New Castle, New Hampshire	New Castle, New Hampshire
EXP NIL     	EL_ENG_00741	Dean	Supernatural (TV series)
CORRECT     	EL_ENG_02091	Odessa, Texas	Odessa, Texas
CORRECT     	EL_ENG_02142	Waterloo	Waterloo, Ontario
WRONG KB ID 	EL_ENG_01087	Manchester	Manchester
CORRECT     	EL_ENG_01513	Manchester	Manchester
CORRECT     	EL_ENG_01754	Manchester	Manchester
CORRECT     	EL_ENG_01675	Lafayette, California	Lafayette, California
WRONG KB ID 	EL_ENG_01312	HUL	Hindustan Unilever
CORRECT     	EL_ENG_02174	AFL-CIO	AFL-CIO
EXP NIL     	EL_ENG_00272	JACKSON	Janet Jackson
CORRECT     	EL_ENG_00072	Barcelona, Spain	Barcelona
CORRECT     	EL_ENG_01784	Jo Ann Davis	Jo Ann Davis
CORRECT     	EL_ENG_00285	Portland, Oregon	Portland, Oregon
EXP NIL     	EL_ENG_00432	Portland, Oregon	Portland, Oregon
EXP NIL     	EL_ENG_00865	Fairfield, Connecticut	Portland, Oregon
CORRECT     	EL_ENG_01009	Portland, Oregon	Portland, Oregon
WRONG KB ID 	EL_ENG_01911	Portland	Portland, Oregon
WRONG KB ID 	EL_ENG_01949	Fairfield, Connecticut	Portland, Oregon
CORRECT     	EL_ENG_02149	Portland	Portland, Oregon
CORRECT     	EL_ENG_00484	Zondervan	Zondervan
WRONG KB ID 	EL_ENG_00624	Hillsdale, Michigan	Hillsdale, Michigan
CORRECT     	EL_ENG_01063	Xavier Carter	Xavier Carter
CORRECT     	EL_ENG_00762	Robin Moore	Robin Moore
CORRECT     	EL_ENG_01893	New Castle, Colorado	New Castle, Colorado
EXP NIL     	EL_ENG_01723	West Ham	West Ham
CORRECT     	EL_ENG_01045	Edwin Starr	Edwin Starr
WRONG KB ID 	EL_ENG_00878	Newberry, South Carolina	Newberry, South Carolina
CORRECT     	EL_ENG_01889	Alcatel-Lucent	Alcatel-Lucent
CORRECT     	EL_ENG_01734	Bangor, Michigan	Bangor, Michigan
CORRECT     	EL_ENG_00880	Kingston, Jamaica	Kingston, Jamaica
CORRECT     	EL_ENG_01055	Kingston, Jamaica	Kingston, Jamaica
CORRECT     	EL_ENG_01872	Kingston, Jamaica	Kingston, Jamaica
WRONG KB ID 	EL_ENG_02082	Chris Carter	The X-Files
CORRECT     	EL_ENG_01316	University of Kentucky	University of Kentucky
CORRECT     	EL_ENG_01995	Megan Fox	Megan Fox
CORRECT     	EL_ENG_01326	Arthur C. Clarke	Arthur C. Clarke
CORRECT     	EL_ENG_01824	Arthur C. Clarke	Arthur C. Clarke
CORRECT     	EL_ENG_01903	Huntington, New York	Huntington, New York
CORRECT     	EL_ENG_02110	Billy Walkabout	Billy Walkabout
CORRECT     	EL_ENG_00982	Hugh Grant	Hugh Grant
EXP NIL     	EL_ENG_00460	Wildcats	Kentucky Wildcats
WRONG KB ID 	EL_ENG_00997	Wildcats	Kentucky Wildcats
EXP NIL     	EL_ENG_01360	Wildcats	Kentucky Wildcats
CORRECT     	EL_ENG_01914	Medford, New York	Medford, New York
EXP NIL     	EL_ENG_01932	Buffalo, Minnesota	Buffalo, Minnesota
CORRECT     	EL_ENG_00044	Dickinson College	Dickinson College
CORRECT     	EL_ENG_01137	Chesterfield, South Carolina	Chesterfield, South Carolina
CORRECT     	EL_ENG_01833	Marilee Jones	Marilee Jones
CORRECT     	EL_ENG_01155	Sherwin-Williams	Sherwin-Williams
CORRECT     	EL_ENG_00573	Manchester, New Hampshire	Manchester, New Hampshire
CORRECT     	EL_ENG_01469	Robert Buckley	Robert Buckley
CORRECT     	EL_ENG_01075	Millville, New Jersey	Millville, New Jersey
CORRECT     	EL_ENG_01524	Peter Buxton	Peter Buxton
CORRECT     	EL_ENG_01633	Lions Clubs International	Lions Clubs International
CORRECT     	EL_ENG_00320	Howard Stern	Howard Stern
WRONG KB ID 	EL_ENG_01849	Howard Stern	Howard Stern
WRONG KB ID 	EL_ENG_02206	Devon	Devon
WRONG KB ID 	EL_ENG_00900	Everton	Tim Cahill
EXP NIL     	EL_ENG_00362	Gary Brown	Gary Brown
WRONG KB ID 	EL_ENG_01608	Salem, Massachusetts	Salem, Massachusetts
CORRECT     	EL_ENG_02096	Salem, Massachusetts	Salem, Massachusetts
CORRECT     	EL_ENG_01829	Mount Pleasant, Michigan	Mount Pleasant, Michigan
EXP NIL     	EL_ENG_01123	Le Havre	Le Havre
EXP NIL     	EL_ENG_01594	Le Harve	Le Havre
CORRECT     	EL_ENG_01798	Oxford, Massachusetts	Oxford, Massachusetts
CORRECT     	EL_ENG_00745	Christian Brando	Christian Brando
CORRECT     	EL_ENG_02135	Hudson, Massachusetts	Hudson, Massachusetts
CORRECT     	EL_ENG_01184	Ali Carter	Allister Carter
CORRECT     	EL_ENG_00503	Mark Kirk	Mark Kirk
CORRECT     	EL_ENG_00100	Summer Phoenix	Summer Phoenix
CORRECT     	EL_ENG_00600	New Castle, Indiana	New Castle, Indiana
CORRECT     	EL_ENG_01346	Jennifer Dunn	Jennifer Dunn
CORRECT     	EL_ENG_00266	Tom Jones	Tom Jones (singer)
CORRECT     	EL_ENG_01085	Javon Walker	Javon Walker
EXP NIL     	EL_ENG_00213	WWF	World Wrestling Entertainment
CORRECT     	EL_ENG_01133	WWF	World Wrestling Entertainment
EXP NIL     	EL_ENG_00846	Anaheim	Anaheim, California
EXP NIL     	EL_ENG_01453	Anaheim	Anaheim, California
EXP NIL     	EL_ENG_01732	Anaheim	Anaheim, California
CORRECT     	EL_ENG_02079	Anaheim, California	Anaheim, California
WRONG KB ID 	EL_ENG_00125	Pineville, Kentucky	Pineville, Kentucky
WRONG KB ID 	EL_ENG_00861	USA	Spain national football team
CORRECT     	EL_ENG_00343	Brownsville, Tennessee	Brownsville, Tennessee
CORRECT     	EL_ENG_02094	Ellensburg, Washington	Ellensburg, Washington
CORRECT     	EL_ENG_01153	Bellevue	Bellevue, Washington
EXP NIL     	EL_ENG_02077	Ama	AMA Computer University
CORRECT     	EL_ENG_00655	Norfolk	Norfolk
CORRECT     	EL_ENG_01142	Nathan Brown	Nathan Brown (rugby league)
CORRECT     	EL_ENG_00468	Thelma Houston	Thelma Houston
EXP NIL     	EL_ENG_00067	Jimmy Dean	Jimmy Dean
CORRECT     	EL_ENG_01357	Millville, Utah	Millville, Utah
EXP NIL     	EL_ENG_02053	Somerset, Kentucky	Somerset, Kentucky
CORRECT     	EL_ENG_01414	Clifton, Arizona	Clifton, Arizona
WRONG KB ID 	EL_ENG_02173	Chris Brown	Rihanna
CORRECT     	EL_ENG_00800	Richard Nolte	Richard Nolte
CORRECT     	EL_ENG_01395	Paul Gillmor	Paul Gillmor
WRONG KB ID 	EL_ENG_01569	David Thompson	David Thompson (explorer)
CORRECT     	EL_ENG_00496	Dover, Arkansas	Dover, Arkansas
CORRECT     	EL_ENG_01390	Burlington, Iowa	Burlington, Iowa
WRONG KB ID 	EL_ENG_01439	BIR	Battle of Bir Hakeim
EXP NIL     	EL_ENG_00271	ACI	Adolf Hitler
WRONG KB ID 	EL_ENG_00490	UK	Adolf Hitler
WRONG KB ID 	EL_ENG_00872	Beeb	BBC Micro
CORRECT     	EL_ENG_02113	Lakeville, Minnesota	Lakeville, Minnesota
WRONG KB ID 	EL_ENG_00010	Burlington	Burlington, Vermont
WRONG KB ID 	EL_ENG_00683	Burlington	Burlington, Vermont
CORRECT     	EL_ENG_01182	Burlington	Burlington, Vermont
CORRECT     	EL_ENG_01899	Burlington, Vermont	Burlington, Vermont
CORRECT     	EL_ENG_00103	Rochester, New York	Rochester, New York
CORRECT     	EL_ENG_01444	Scott Olsen	Scott Olsen
CORRECT     	EL_ENG_00618	Kevin Carter	Kevin Carter (American football)
CORRECT     	EL_ENG_00843	Searcy, Arkansas	Searcy, Arkansas
CORRECT     	EL_ENG_00493	Wentworth Miller	Wentworth Miller
WRONG KB ID 	EL_ENG_01693	Pleasantville	Pleasantville (film)
WRONG KB ID 	EL_ENG_00679	Jackson Co	Jackson County, Oregon
EXP NIL     	EL_ENG_01243	Clifton, Kansas	Clifton, Kansas
CORRECT     	EL_ENG_00135	Parkville, Maryland	Parkville, Maryland
CORRECT     	EL_ENG_00184	Andy Carroll	Andy Carroll
CORRECT     	EL_ENG_01248	Wilmington, Delaware	Wilmington, Delaware
CORRECT     	EL_ENG_01338	Wilmington, Delaware	Wilmington, Delaware
CORRECT     	EL_ENG_01417	International Criminal Court	International Criminal Court
CORRECT     	EL_ENG_02222	Allan Houston	Allan Houston
CORRECT     	EL_ENG_01775	Ian Smith	Ian Smith
CORRECT     	EL_ENG_01104	Arena Football League	Arena Football League
CORRECT     	EL_ENG_00965	Plainfield, Iowa	Plainfield, Iowa
CORRECT     	EL_ENG_00241	John Howard	John Howard
CORRECT     	EL_ENG_01076	John Howard	John Howard
EXP NIL     	EL_ENG_01850	Johnny Howard	John Howard
